Genes	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
DAO	P14920	OXDA_HUMAN	reviewed	D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3)	DAO DAMOX	Homo sapiens (Human)	347
CHGB	P05060	SCG1_HUMAN	reviewed	Secretogranin-1 (Chromogranin-B) (CgB) (Secretogranin I) (SgI) [Cleaved into: PE-11; GAWK peptide; CCB peptide]	CHGB SCG1	Homo sapiens (Human)	677
ATL1	Q8WXF7	ATLA1_HUMAN	reviewed	Atlastin-1 (EC 3.6.5.-) (Brain-specific GTP-binding protein) (GTP-binding protein 3) (GBP-3) (hGBP3) (Guanine nucleotide-binding protein 3) (Spastic paraplegia 3 protein A)	ATL1 GBP3 SPG3A	Homo sapiens (Human)	558
CHRNB4	P30926	ACHB4_HUMAN	reviewed	Neuronal acetylcholine receptor subunit beta-4	CHRNB4	Homo sapiens (Human)	498
STK36	Q9NRP7	STK36_HUMAN	reviewed	Serine/threonine-protein kinase 36 (EC 2.7.11.1) (Fused homolog)	STK36 KIAA1278	Homo sapiens (Human)	1315
CNTF	P26441	CNTF_HUMAN	reviewed	Ciliary neurotrophic factor (CNTF)	CNTF	Homo sapiens (Human)	200
UBQLN1	Q9UMX0	UBQL1_HUMAN	reviewed	Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1) (hPLIC-1)	UBQLN1 DA41 PLIC1	Homo sapiens (Human)	589
IGFBP4	P22692	IBP4_HUMAN	reviewed	Insulin-like growth factor-binding protein 4 (IBP-4) (IGF-binding protein 4) (IGFBP-4)	IGFBP4 IBP4	Homo sapiens (Human)	258
SCN7A	Q01118	SCN7A_HUMAN	reviewed	Sodium channel protein type 7 subunit alpha (Putative voltage-gated sodium channel subunit alpha Nax) (Sodium channel protein cardiac and skeletal muscle subunit alpha) (Sodium channel protein type VII subunit alpha)	SCN7A SCN6A	Homo sapiens (Human)	1682
TNPO1	Q92973	TNPO1_HUMAN	reviewed	Transportin-1 (Importin beta-2) (Karyopherin beta-2) (M9 region interaction protein) (MIP)	TNPO1 KPNB2 MIP1 TRN	Homo sapiens (Human)	898
ADCYAP1R1	P41586	PACR_HUMAN	reviewed	Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1)	ADCYAP1R1	Homo sapiens (Human)	468
LAMC1	P11047	LAMC1_HUMAN	reviewed	Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma)	LAMC1 LAMB2	Homo sapiens (Human)	1609
MT3	P25713	MT3_HUMAN	reviewed	Metallothionein-3 (MT-3) (GIFB) (GIF) (Growth inhibitory factor) (Metallothionein-III) (MT-III)	MT3	Homo sapiens (Human)	68
RFC1	P35251	RFC1_HUMAN	reviewed	Replication factor C subunit 1 (Activator 1 140 kDa subunit) (A1 140 kDa subunit) (Activator 1 large subunit) (Activator 1 subunit 1) (DNA-binding protein PO-GA) (Replication factor C 140 kDa subunit) (RF-C 140 kDa subunit) (RFC140) (Replication factor C large subunit)	RFC1 RFC140	Homo sapiens (Human)	1148
RFC1	P41440	S19A1_HUMAN	reviewed	Reduced folate transporter (FOLT) (Intestinal folate carrier 1) (IFC-1) (Placental folate transporter) (Reduced folate carrier protein) (RFC) (hRFC) (Reduced folate transporter 1) (RFT-1) (Solute carrier family 19 member 1) (hSLC19A1)	SLC19A1 FLOT1 RFC1	Homo sapiens (Human)	591
CACNA1S	Q13698	CAC1S_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1S (Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle) (Voltage-gated calcium channel subunit alpha Cav1.1)	CACNA1S CACH1 CACN1 CACNL1A3	Homo sapiens (Human)	1873
PSMA7	O14818	PSA7_HUMAN	reviewed	Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7)	PSMA7 HSPC	Homo sapiens (Human)	248
CALN1	Q9BXU9	CABP8_HUMAN	reviewed	Calcium-binding protein 8 (CaBP8) (Calneuron I) (Calneuron-1)	CALN1 CABP8	Homo sapiens (Human)	261
RBM19	Q9Y4C8	RBM19_HUMAN	reviewed	Probable RNA-binding protein 19 (RNA-binding motif protein 19)	RBM19 KIAA0682	Homo sapiens (Human)	960
SLC39A11	Q8N1S5	S39AB_HUMAN	reviewed	Zinc transporter ZIP11 (Solute carrier family 39 member 11) (Zrt- and Irt-like protein 11) (ZIP-11)	SLC39A11 C17orf26 ZIP11	Homo sapiens (Human)	342
LRFN2	Q9ULH4	LRFN2_HUMAN	reviewed	Leucine-rich repeat and fibronectin type-III domain-containing protein 2 (Synaptic adhesion-like molecule 1)	LRFN2 KIAA1246 SALM1	Homo sapiens (Human)	789
TSPAN9	O75954	TSN9_HUMAN	reviewed	Tetraspanin-9 (Tspan-9) (Tetraspan NET-5)	TSPAN9 NET5	Homo sapiens (Human)	239
CENPV	Q7Z7K6	CENPV_HUMAN	reviewed	Centromere protein V (CENP-V) (Nuclear protein p30) (Proline-rich protein 6)	CENPV PRR6	Homo sapiens (Human)	275
IL34	Q6ZMJ4	IL34_HUMAN	reviewed	Interleukin-34 (IL-34)	IL34 C16orf77	Homo sapiens (Human)	242
PON3	Q15166	PON3_HUMAN	reviewed	Serum paraoxonase/lactonase 3 (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1)	PON3	Homo sapiens (Human)	354
ZFP64	Q9NTW7	ZF64B_HUMAN	reviewed	Zinc finger protein 64 (Zfp-64) (Zinc finger protein 338)	ZFP64 ZNF338	Homo sapiens (Human)	645
SPG7	Q9UQ90	SPG7_HUMAN	reviewed	Paraplegin (EC 3.4.24.-) (Cell matrix adhesion regulator) (Spastic paraplegia 7 protein)	SPG7 CAR CMAR PGN	Homo sapiens (Human)	795
PKN1	Q16512	PKN1_HUMAN	reviewed	Serine/threonine-protein kinase N1 (EC 2.7.11.13) (Protease-activated kinase 1) (PAK-1) (Protein kinase C-like 1) (Protein kinase C-like PKN) (Protein kinase PKN-alpha) (Protein-kinase C-related kinase 1) (Serine-threonine protein kinase N)	PKN1 PAK1 PKN PRK1 PRKCL1	Homo sapiens (Human)	942
PIGL	Q9Y2B2	PIGL_HUMAN	reviewed	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase (EC 3.5.1.89) (Phosphatidylinositol-glycan biosynthesis class L protein) (PIG-L)	PIGL	Homo sapiens (Human)	252
ITM2B	Q9Y287	ITM2B_HUMAN	reviewed	Integral membrane protein 2B (Immature BRI2) (imBRI2) (Protein E25B) (Transmembrane protein BRI) (Bri) [Cleaved into: BRI2, membrane form (Mature BRI2) (mBRI2); BRI2 intracellular domain (BRI2 ICD); BRI2C, soluble form; Bri23 peptide (Bri2-23) (ABri23) (C-terminal peptide) (P23 peptide)]	ITM2B BRI BRI2	Homo sapiens (Human)	266
ABCC12	Q96J65	MRP9_HUMAN	reviewed	ATP-binding cassette sub-family C member 12 (Multidrug resistance-associated protein 9)	ABCC12 MRP9	Homo sapiens (Human)	1359
HTR2B	P41595	5HT2B_HUMAN	reviewed	5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (Serotonin receptor 2B)	HTR2B	Homo sapiens (Human)	481
GOT1	P17174	AATC_HUMAN	reviewed	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	GOT1	Homo sapiens (Human)	413
MAP1B	P46821	MAP1B_HUMAN	reviewed	Microtubule-associated protein 1B (MAP-1B) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]	MAP1B	Homo sapiens (Human)	2468
KIF1B	O60333	KIF1B_HUMAN	reviewed	Kinesin-like protein KIF1B (Klp)	KIF1B KIAA0591 KIAA1448	Homo sapiens (Human)	1816
TTLL4	Q14679	TTLL4_HUMAN	reviewed	Tubulin monoglutamylase TTLL4 (EC 6.3.2.-) (Protein monoglutamylase TTLL4) (Tubulin--tyrosine ligase-like protein 4)	TTLL4 KIAA0173	Homo sapiens (Human)	1199
ARAP2	Q8WZ64	ARAP2_HUMAN	reviewed	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2 (Centaurin-delta-1) (Cnt-d1) (Protein PARX)	ARAP2 CENTD1 KIAA0580	Homo sapiens (Human)	1704
TMEM106B	Q9NUM4	T106B_HUMAN	reviewed	Transmembrane protein 106B	TMEM106B	Homo sapiens (Human)	274
KCNA2	P16389	KCNA2_HUMAN	reviewed	Potassium voltage-gated channel subfamily A member 2 (NGK1) (Voltage-gated K(+) channel HuKIV) (Voltage-gated potassium channel HBK5) (Voltage-gated potassium channel subunit Kv1.2)	KCNA2	Homo sapiens (Human)	499
TMEM132E	Q6IEE7	T132E_HUMAN	reviewed	Transmembrane protein 132E	TMEM132E	Homo sapiens (Human)	1074
CAMK1G	Q96NX5	KCC1G_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)	CAMK1G CLICK3 VWS1	Homo sapiens (Human)	476
NUDT12	Q9BQG2	NUD12_HUMAN	reviewed	NAD-capped RNA hydrolase NUDT12 (DeNADding enzyme NUDT12) (EC 3.6.1.-) (NADH pyrophosphatase NUDT12) (EC 3.6.1.22) (Nucleoside diphosphate-linked moiety X motif 12) (Nudix motif 12)	NUDT12	Homo sapiens (Human)	462
CCSER1	Q9C0I3	CCSE1_HUMAN	reviewed	Serine-rich coiled-coil domain-containing protein 1 (Coiled-coil serine-rich protein 1)	CCSER1 FAM190A KIAA1680	Homo sapiens (Human)	900
RNASE2	P10153	RNAS2_HUMAN	reviewed	Non-secretory ribonuclease (EC 4.6.1.18) (Eosinophil-derived neurotoxin) (RNase UpI-2) (Ribonuclease 2) (RNase 2) (Ribonuclease US)	RNASE2 EDN RNS2	Homo sapiens (Human)	161
FOSB	P53539	FOSB_HUMAN	reviewed	Protein fosB (G0/G1 switch regulatory protein 3)	FOSB G0S3	Homo sapiens (Human)	338
ADH5	P11766	ADHX_HUMAN	reviewed	Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase 5) (Alcohol dehydrogenase class chi chain) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284)	ADH5 ADHX FDH	Homo sapiens (Human)	374
SOX5	P35711	SOX5_HUMAN	reviewed	Transcription factor SOX-5	SOX5	Homo sapiens (Human)	763
CHODL	Q9H9P2	CHODL_HUMAN	reviewed	Chondrolectin (Transmembrane protein MT75)	CHODL C21orf68 PRED12 UNQ872/PRO1890	Homo sapiens (Human)	273
EIF4B	P23588	IF4B_HUMAN	reviewed	Eukaryotic translation initiation factor 4B (eIF-4B)	EIF4B	Homo sapiens (Human)	611
GZMA	P12544	GRAA_HUMAN	reviewed	Granzyme A (EC 3.4.21.78) (CTL tryptase) (Cytotoxic T-lymphocyte proteinase 1) (Fragmentin-1) (Granzyme-1) (Hanukkah factor) (H factor) (HF)	GZMA CTLA3 HFSP	Homo sapiens (Human)	262
SLC6A6	P31641	SC6A6_HUMAN	reviewed	Sodium- and chloride-dependent taurine transporter (Solute carrier family 6 member 6)	SLC6A6	Homo sapiens (Human)	620
VEGFB	P49765	VEGFB_HUMAN	reviewed	Vascular endothelial growth factor B (VEGF-B) (VEGF-related factor) (VRF)	VEGFB VRF	Homo sapiens (Human)	207
ADGRD1	Q6QNK2	AGRD1_HUMAN	reviewed	Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133) (G-protein coupled receptor PGR25)	ADGRD1 GPR133 PGR25	Homo sapiens (Human)	874
C7	P10643	CO7_HUMAN	reviewed	Complement component C7	C7	Homo sapiens (Human)	843
CCS	O14618	CCS_HUMAN	reviewed	Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone)	CCS	Homo sapiens (Human)	274
CHCHD2	Q9Y6H1	CHCH2_HUMAN	reviewed	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 (Aging-associated gene 10 protein) (HCV NS2 trans-regulated protein) (NS2TP)	CHCHD2 C7orf17 AAG10	Homo sapiens (Human)	151
VAPA	Q9P0L0	VAPA_HUMAN	reviewed	Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33)	VAPA VAP33	Homo sapiens (Human)	249
HNRNPA3	P51991	ROA3_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	HNRNPA3 HNRPA3	Homo sapiens (Human)	378
GSTO2	Q9H4Y5	GSTO2_HUMAN	reviewed	Glutathione S-transferase omega-2 (GSTO-2) (EC 2.5.1.18) (Glutathione S-transferase omega 2-2) (GSTO 2-2) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2)	GSTO2	Homo sapiens (Human)	243
GRIA3	P42263	GRIA3_HUMAN	reviewed	Glutamate receptor 3 (GluR-3) (AMPA-selective glutamate receptor 3) (GluR-C) (GluR-K3) (Glutamate receptor ionotropic, AMPA 3) (GluA3)	GRIA3 GLUR3 GLURC	Homo sapiens (Human)	894
CPNE4	Q96A23	CPNE4_HUMAN	reviewed	Copine-4 (Copine IV) (Copine-8)	CPNE4	Homo sapiens (Human)	557
MFN1	Q8IWA4	MFN1_HUMAN	reviewed	Mitofusin-1 (EC 3.6.5.-) (Fzo homolog) (Transmembrane GTPase MFN1)	MFN1	Homo sapiens (Human)	741
ELAVL4	P26378	ELAV4_HUMAN	reviewed	ELAV-like protein 4 (Hu-antigen D) (HuD) (Paraneoplastic encephalomyelitis antigen HuD)	ELAVL4 HUD PNEM	Homo sapiens (Human)	385
MAP2K5	Q13163	MP2K5_HUMAN	reviewed	Dual specificity mitogen-activated protein kinase kinase 5 (MAP kinase kinase 5) (MAPKK 5) (EC 2.7.12.2) (MAPK/ERK kinase 5) (MEK 5)	MAP2K5 MEK5 MKK5 PRKMK5	Homo sapiens (Human)	448
B4GALT6	Q9UBX8	B4GT6_HUMAN	reviewed	Beta-1,4-galactosyltransferase 6 (Beta-1,4-GalTase 6) (Beta4Gal-T6) (b4Gal-T6) (EC 2.4.1.-) (Glucosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 6) (UDP-Gal:glucosylceramide beta-1,4-galactosyltransferase) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 6)	B4GALT6	Homo sapiens (Human)	382
SRR	Q9GZT4	SRR_HUMAN	reviewed	Serine racemase (EC 5.1.1.18) (D-serine ammonia-lyase) (D-serine dehydratase) (EC 4.3.1.18) (L-serine ammonia-lyase) (L-serine dehydratase) (EC 4.3.1.17)	SRR	Homo sapiens (Human)	340
PDGFC	Q9NRA1	PDGFC_HUMAN	reviewed	Platelet-derived growth factor C (PDGF-C) (Fallotein) (Spinal cord-derived growth factor) (SCDGF) (VEGF-E) [Cleaved into: Platelet-derived growth factor C, latent form (PDGFC latent form); Platelet-derived growth factor C, receptor-binding form (PDGFC receptor-binding form)]	PDGFC SCDGF UNQ174/PRO200	Homo sapiens (Human)	345
VSNL1	P62760	VISL1_HUMAN	reviewed	Visinin-like protein 1 (VILIP) (VLP-1) (Hippocalcin-like protein 3) (HLP3)	VSNL1 VISL1	Homo sapiens (Human)	191
FIS1	Q9Y3D6	FIS1_HUMAN	reviewed	Mitochondrial fission 1 protein (FIS1 homolog) (hFis1) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11)	FIS1 TTC11 CGI-135	Homo sapiens (Human)	152
GRM2	Q14416	GRM2_HUMAN	reviewed	Metabotropic glutamate receptor 2 (mGluR2)	GRM2 GPRC1B MGLUR2	Homo sapiens (Human)	872
METTL21A	Q8WXB1	MT21A_HUMAN	reviewed	Protein N-lysine methyltransferase METTL21A (EC 2.1.1.-) (HSPA lysine methyltransferase) (HSPA-KMT) (Hepatocellular carcinoma-associated antigen 557b) (Methyltransferase-like protein 21A)	METTL21A FAM119A HCA557B	Homo sapiens (Human)	218
FBXO32	Q969P5	FBX32_HUMAN	reviewed	F-box only protein 32 (Atrogin-1) (Muscle atrophy F-box protein) (MAFbx)	FBXO32	Homo sapiens (Human)	355
ST6GALNAC5	Q9BVH7	SIA7E_HUMAN	reviewed	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 (EC 2.4.99.-) (GD1 alpha synthase) (GalNAc alpha-2,6-sialyltransferase V) (ST6GalNAc V) (ST6GalNAcV) (Sialyltransferase 7E) (SIAT7-E)	ST6GALNAC5 SIAT7E	Homo sapiens (Human)	336
ITIH4	Q14624	ITIH4_HUMAN	reviewed	Inter-alpha-trypsin inhibitor heavy chain H4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4) (Inter-alpha-trypsin inhibitor family heavy chain-related protein) (IHRP) (Plasma kallikrein sensitive glycoprotein 120) (Gp120) (PK-120) [Cleaved into: 70 kDa inter-alpha-trypsin inhibitor heavy chain H4; 35 kDa inter-alpha-trypsin inhibitor heavy chain H4]	ITIH4 IHRP ITIHL1 PK120 PRO1851	Homo sapiens (Human)	930
BPTF	Q12830	BPTF_HUMAN	reviewed	Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen)	BPTF FAC1 FALZ	Homo sapiens (Human)	3046
ACSL5	Q9ULC5	ACSL5_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 5) (LACS 5)	ACSL5 ACS5 FACL5 UNQ633/PRO1250	Homo sapiens (Human)	683
STON1	Q9Y6Q2	STON1_HUMAN	reviewed	Stonin-1 (Stoned B-like factor)	STON1 SALF SBLF STN1	Homo sapiens (Human)	735
ASB13	Q8WXK3	ASB13_HUMAN	reviewed	Ankyrin repeat and SOCS box protein 13 (ASB-13)	ASB13	Homo sapiens (Human)	278
ERLIN2	O94905	ERLN2_HUMAN	reviewed	Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2)	ERLIN2 C8orf2 SPFH2 UNQ2441/PRO5003/PRO9924	Homo sapiens (Human)	339
GLE1	Q53GS7	GLE1_HUMAN	reviewed	mRNA export factor GLE1 (hGLE1) (GLE1 RNA export mediator) (GLE1-like protein) (Nucleoporin GLE1)	GLE1 GLE1L	Homo sapiens (Human)	698
MTREX	P42285	MTREX_HUMAN	reviewed	Exosome RNA helicase MTR4 (EC 3.6.4.13) (ATP-dependent RNA helicase DOB1) (ATP-dependent RNA helicase SKIV2L2) (Superkiller viralicidic activity 2-like 2) (TRAMP-like complex helicase)	MTREX DOB1 KIAA0052 MTR4 SKIV2L2	Homo sapiens (Human)	1042
RPS25	P62851	RS25_HUMAN	reviewed	40S ribosomal protein S25 (Small ribosomal subunit protein eS25)	RPS25	Homo sapiens (Human)	125
GRIA4	P48058	GRIA4_HUMAN	reviewed	Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4) (GluA4)	GRIA4 GLUR4	Homo sapiens (Human)	902
ANKRD1	Q15327	ANKR1_HUMAN	reviewed	Ankyrin repeat domain-containing protein 1 (Cardiac ankyrin repeat protein) (Cytokine-inducible gene C-193 protein) (Cytokine-inducible nuclear protein)	ANKRD1 C193 CARP HA1A2	Homo sapiens (Human)	319
SCG2	O00255	MEN1_HUMAN	reviewed	Menin	MEN1 SCG2	Homo sapiens (Human)	615
SCG2	P13521	SCG2_HUMAN	reviewed	Secretogranin-2 (Chromogranin-C) (Secretogranin II) (SgII) [Cleaved into: Secretoneurin (SN); Manserin]	SCG2 CHGC	Homo sapiens (Human)	617
C19orf12	Q9NSK7	CS012_HUMAN	reviewed	Protein C19orf12	C19orf12	Homo sapiens (Human)	152
AOX1	Q06278	AOXA_HUMAN	reviewed	Aldehyde oxidase (EC 1.2.3.1) (Aldehyde oxidase 1) (Azaheterocycle hydroxylase) (EC 1.17.3.-)	AOX1 AO	Homo sapiens (Human)	1338
ZNF142	P52746	ZN142_HUMAN	reviewed	Zinc finger protein 142	ZNF142 KIAA0236	Homo sapiens (Human)	1687
FAT3	Q8TDW7	FAT3_HUMAN	reviewed	Protocadherin Fat 3 (hFat3) (Cadherin family member 15) (FAT tumor suppressor homolog 3)	FAT3 CDHF15 KIAA1989	Homo sapiens (Human)	4557
KIAA0513	O60268	K0513_HUMAN	reviewed	Uncharacterized protein KIAA0513	KIAA0513	Homo sapiens (Human)	411
RRAD	P55042	RAD_HUMAN	reviewed	GTP-binding protein RAD (RAD1) (Ras associated with diabetes)	RRAD RAD	Homo sapiens (Human)	308
LRRC8C	Q8TDW0	LRC8C_HUMAN	reviewed	Volume-regulated anion channel subunit LRRC8C (Factor for adipocyte differentiation 158) (Leucine-rich repeat-containing protein 8C)	LRRC8C AD158 FAD158	Homo sapiens (Human)	803
VGF	O15240	VGF_HUMAN	reviewed	Neurosecretory protein VGF [Cleaved into: Neuroendocrine regulatory peptide-1 (NERP-1); Neuroendocrine regulatory peptide-2 (NERP-2); VGF-derived peptide TLQP-21; VGF-derived peptide TLQP-62; Antimicrobial peptide VGF[554-577]]	VGF	Homo sapiens (Human)	615
DNAJC7	Q99615	DNJC7_HUMAN	reviewed	DnaJ homolog subfamily C member 7 (Tetratricopeptide repeat protein 2) (TPR repeat protein 2)	DNAJC7 TPR2 TTC2	Homo sapiens (Human)	494
RALY	Q9UKM9	RALY_HUMAN	reviewed	RNA-binding protein Raly (Autoantigen p542) (Heterogeneous nuclear ribonucleoprotein C-like 2) (hnRNP core protein C-like 2) (hnRNP associated with lethal yellow protein homolog)	RALY HNRPCL2 P542	Homo sapiens (Human)	306
TTBK2	Q6IQ55	TTBK2_HUMAN	reviewed	Tau-tubulin kinase 2 (EC 2.7.11.1)	TTBK2 KIAA0847	Homo sapiens (Human)	1244
FHDC1	Q9C0D6	FHDC1_HUMAN	reviewed	FH2 domain-containing protein 1 (Inverted formin-1)	FHDC1 INF1 KIAA1727	Homo sapiens (Human)	1143
NIPA1	Q7RTP0	NIPA1_HUMAN	reviewed	Magnesium transporter NIPA1 (Non-imprinted in Prader-Willi/Angelman syndrome region protein 1) (Spastic paraplegia 6 protein)	NIPA1 SPG6	Homo sapiens (Human)	329
GRIN3B	O60391	NMD3B_HUMAN	reviewed	Glutamate receptor ionotropic, NMDA 3B (GluN3B) (N-methyl-D-aspartate receptor subtype 3B) (NMDAR3B) (NR3B)	GRIN3B	Homo sapiens (Human)	1043
KCNIP1	Q9NZI2	KCIP1_HUMAN	reviewed	Kv channel-interacting protein 1 (KChIP1) (A-type potassium channel modulatory protein 1) (Potassium channel-interacting protein 1) (Vesicle APC-binding protein)	KCNIP1 KCHIP1 VABP	Homo sapiens (Human)	227
RAB29	O14966	RAB7L_HUMAN	reviewed	Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29)	RAB29 RAB7L1	Homo sapiens (Human)	203
C5orf15	Q8NC54	KCT2_HUMAN	reviewed	Keratinocyte-associated transmembrane protein 2	KCT2 C5orf15 HTGN29	Homo sapiens (Human)	265
GJD2	Q9UKL4	CXD2_HUMAN	reviewed	Gap junction delta-2 protein (Connexin-36) (Cx36) (Gap junction alpha-9 protein)	GJD2 GJA9	Homo sapiens (Human)	321
HDAC11	Q96DB2	HDA11_HUMAN	reviewed	Histone deacetylase 11 (HD11) (EC 3.5.1.98)	HDAC11	Homo sapiens (Human)	347
FZD2	Q14332	FZD2_HUMAN	reviewed	Frizzled-2 (Fz-2) (hFz2) (FzE2)	FZD2	Homo sapiens (Human)	565
ARHGEF28	Q8N1W1	ARG28_HUMAN	reviewed	Rho guanine nucleotide exchange factor 28 (190 kDa guanine nucleotide exchange factor) (p190-RhoGEF) (p190RhoGEF) (Rho guanine nucleotide exchange factor)	ARHGEF28 KIAA1998 RGNEF	Homo sapiens (Human)	1705
KCTD16	Q68DU8	KCD16_HUMAN	reviewed	BTB/POZ domain-containing protein KCTD16 (Potassium channel tetramerization domain-containing protein 16)	KCTD16 KIAA1317	Homo sapiens (Human)	428
SUSD1	Q6UWL2	SUSD1_HUMAN	reviewed	Sushi domain-containing protein 1	SUSD1 UNQ2438/PRO4999	Homo sapiens (Human)	747
TMEM132B	Q14DG7	T132B_HUMAN	reviewed	Transmembrane protein 132B	TMEM132B KIAA1786 KIAA1906	Homo sapiens (Human)	1078
ELP3	Q9H9T3	ELP3_HUMAN	reviewed	Elongator complex protein 3 (hELP3) (Protein lysine acetyltransferase ELP3) (EC 2.3.1.-) (tRNA uridine(34) acetyltransferase) (EC 2.3.1.-)	ELP3	Homo sapiens (Human)	547
VPS29	Q9UBQ0	VPS29_HUMAN	reviewed	Vacuolar protein sorting-associated protein 29 (hVPS29) (PEP11 homolog) (Vesicle protein sorting 29)	VPS29 DC15 DC7 MDS007	Homo sapiens (Human)	182
POLDIP3	Q9BY77	PDIP3_HUMAN	reviewed	Polymerase delta-interacting protein 3 (46 kDa DNA polymerase delta interaction protein) (p46) (S6K1 Aly/REF-like target) (SKAR)	POLDIP3 KIAA1649 PDIP46	Homo sapiens (Human)	421
MORN2	Q502X0	MORN2_HUMAN	reviewed	MORN repeat-containing protein 2 (MORN motif protein in testis)	MORN2 MOPT	Homo sapiens (Human)	79
GLT8D1	Q68CQ7	GL8D1_HUMAN	reviewed	Glycosyltransferase 8 domain-containing protein 1 (EC 2.4.1.-)	GLT8D1 GALA4A AD-017 MSTP137 UNQ572/PRO1134	Homo sapiens (Human)	371
EIF4H	Q15056	IF4H_HUMAN	reviewed	Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosomal region 1 protein)	EIF4H KIAA0038 WBSCR1 WSCR1	Homo sapiens (Human)	248
MFSD8	Q8NHS3	MFSD8_HUMAN	reviewed	Major facilitator superfamily domain-containing protein 8 (Ceroid-lipofuscinosis neuronal protein 7)	MFSD8 CLN7	Homo sapiens (Human)	518
USP47	Q96K76	UBP47_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47)	USP47	Homo sapiens (Human)	1375
SNRPC	P09234	RU1C_HUMAN	reviewed	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	SNRPC	Homo sapiens (Human)	159
SCFD1	Q8WVM8	SCFD1_HUMAN	reviewed	Sec1 family domain-containing protein 1 (SLY1 homolog) (Sly1p) (Syntaxin-binding protein 1-like 2)	SCFD1 C14orf163 KIAA0917 STXBP1L2 FKSG23	Homo sapiens (Human)	642
